HourlyActiveSessions,HourlyActiveUsers,EventUtcYear,EventUtcMonth,EventUtcDay,EventUtcHour
92758,92387,2016,12,6,4
99682,99237,2016,12,15,3
75425,75062,2016,12,26,5
97851,97473,2017,1,2,12
110476,109977,2017,1,12,2
162128,161462,2017,1,13,20
101115,100636,2017,1,15,19
213092,212382,2017,1,19,15
181438,180881,2017,1,20,13
90057,89652,2017,1,24,3
77102,76806,2017,1,28,13
54941,54607,2016,6,8,12
21838,21738,2016,6,12,8
90374,89987,2016,8,6,12
87061,86615,2016,8,12,6
107921,107443,2016,8,24,0
120844,120299,2016,8,30,22
147512,146903,2016,9,2,20
105707,105212,2016,9,20,2
208070,207258,2016,9,26,20
106962,106542,2016,11,4,0
118149,117714,2016,11,17,23
157695,157048,2016,11,23,17
189946,189174,2016,11,30,17
89674,89221,2016,12,6,8
88932,88563,2016,12,8,6
92788,92406,2017,1,29,16
58321,57972,2016,6,1,20
26842,26707,2016,6,20,1
110883,110345,2016,7,25,10
99163,98693,2016,7,29,10
111121,110568,2016,8,3,10
103925,103479,2016,8,9,10
94620,94179,2016,8,10,3
102695,102122,2016,8,10,9
100814,100311,2016,8,24,10
98476,98013,2016,9,8,10
58028,57761,2016,9,10,8
126172,125601,2016,9,21,22
165318,164675,2016,9,22,21
98804,98359,2016,10,3,8
73941,73614,2016,10,8,3
62912,62586,2016,10,8,9
63074,62780,2016,10,9,8
116771,116296,2016,10,16,17
253360,252457,2016,10,17,16
97516,97051,2016,10,24,8
94163,93573,2016,10,25,7
61507,61235,2016,10,29,7
82873,82524,2016,11,5,12
64909,64623,2016,11,12,5
63488,63224,2016,11,27,11
115285,114882,2016,12,5,11
68999,68706,2016,12,11,5
106858,106306,2016,8,3,9
133208,132636,2016,8,8,22
94711,94281,2016,8,9,3
113314,112775,2016,8,13,14
93296,92881,2016,8,14,13
