HourlyActiveSessions,HourlyActiveUsers,EventUtcYear,EventUtcMonth,EventUtcDay,EventUtcHour
62140,61847,2017,2,19,1
82374,82057,2017,2,20,4
94191,93847,2017,2,22,0
215932,215163,2017,1,10,14
166153,165569,2017,1,11,13
94195,93850,2017,1,13,11
55841,55601,2017,1,14,10
193529,192836,2017,1,26,19
83938,83503,2017,1,7,22
56865,56627,2017,1,22,7
83828,83488,2017,2,10,11
52446,52213,2017,2,11,10
202866,201647,2017,2,27,18
75635,75295,2017,1,2,5
95829,95372,2017,1,5,2
79368,79001,2017,1,28,22
73179,72887,2017,2,1,5
66011,65713,2017,2,5,1
190948,190264,2017,2,6,19
57534,57302,2017,2,19,6
211792,211041,2017,1,3,17
91936,91500,2017,1,17,3
80581,80226,2017,2,2,8
88677,88300,2017,2,8,2
86374,85731,2017,2,28,8
50331,50115,2017,1,28,8
68391,68090,2017,1,29,0
171185,170540,2017,1,31,19
181687,181003,2017,2,8,16
82792,82415,2017,2,16,8
86876,86501,2017,1,3,10
95333,94912,2017,1,10,3
83412,83056,2017,2,2,9
91024,90647,2017,2,9,2
77073,76553,2017,2,25,22
107482,106834,2017,2,28,0
85020,84613,2017,1,3,9
89904,89551,2017,1,9,3
195097,194553,2017,2,3,14
91692,91271,2017,2,4,19
84762,84398,2017,2,14,3
64346,64107,2017,2,19,4
54327,54035,2017,2,26,9
145868,145373,2017,1,3,21
72337,72026,2017,1,21,3
87117,86759,2017,1,27,2
95518,94871,2017,2,27,1
170141,169174,2017,2,28,13
81729,81360,2017,1,3,7
73536,73195,2017,1,7,3
75945,75623,2017,2,10,10
127990,127523,2017,2,13,22
165631,164983,2017,2,14,18
83782,83441,2017,2,18,14
145705,145202,2017,2,22,13
72245,71877,2017,1,2,10
78963,78593,2017,1,2,11
111951,111445,2017,1,2,21
101432,101003,2017,1,10,2
102667,102162,2017,1,11,2
77703,77354,2017,1,21,2
55997,55774,2017,1,28,11
50695,50499,2017,1,29,8
95629,95216,2017,1,29,18
84900,84518,2017,1,29,22
80711,80332,2017,1,31,9
80445,80080,2017,2,1,10
84812,84439,2017,2,1,11
138775,138212,2017,2,1,21
120417,120024,2017,2,7,12
94365,93972,2017,2,10,1
73165,72883,2017,2,11,1
54581,54360,2017,2,12,7
92284,91892,2017,2,21,1
94132,93769,2017,1,27,1
91364,90981,2017,2,2,11
69408,69135,2017,2,11,2
167144,166516,2017,2,24,17
188446,187693,2017,1,3,19
93273,92882,2017,1,19,3
154818,154209,2017,1,27,20
160993,160335,2017,1,31,20
203233,202329,2017,1,11,16
102664,102257,2017,1,16,11
172161,171469,2017,2,13,20
198250,197756,2017,2,20,13
197692,196371,2017,2,27,19
103671,103227,2017,1,6,0
101550,101098,2017,1,14,19
210310,209644,2017,1,19,14
93203,92794,2017,1,29,20
87690,87322,2017,2,2,2
96071,95670,2017,2,9,0
148475,147931,2017,2,10,20
73704,73413,2017,2,11,22
84706,84340,2017,2,20,10
86333,85972,2017,2,22,11
79289,78977,2017,1,31,4
96743,96293,2017,1,8,18
125399,124840,2017,1,11,23
93931,93569,2017,1,15,15
84471,84080,2017,1,18,8
106606,106198,2017,1,23,11
217221,216483,2017,1,6,15
64182,63896,2017,1,15,6
106218,105791,2017,1,18,0
181750,180552,2017,2,28,18
75595,75260,2017,2,18,21
175689,175028,2017,2,21,18
83476,83125,2017,2,2,10
88451,88126,2017,2,4,14
87840,87509,2017,2,10,2
78622,78304,2017,2,14,4
56807,56557,2017,2,11,11
95259,94829,2017,2,11,17
82576,82235,2017,2,17,11
231718,230938,2017,1,12,14
69288,69010,2017,1,14,12
91280,90882,2017,2,3,23
104267,103888,2017,2,6,11
191546,190868,2017,2,10,16
56016,55775,2017,2,11,6
84215,83819,2017,2,16,10
89053,88732,2017,2,23,3
81014,80685,2017,2,4,0
162749,162074,2017,2,7,20
83538,83203,2017,2,20,7
206667,205927,2017,1,17,17
94367,93940,2017,1,28,19
132601,132143,2017,2,2,22
167299,166680,2017,2,16,20
177648,177051,2017,2,20,16
87798,87396,2017,2,22,2
119836,119397,2017,2,22,22
76185,75863,2017,1,1,15
75036,74689,2017,1,15,1
96054,95702,2017,2,24,0
87638,87092,2017,2,27,3
83742,83421,2017,1,1,16
76816,76463,2017,1,2,3
95014,94577,2017,1,3,2
116190,115741,2017,1,4,12
97202,96832,2017,1,12,4
98249,97899,2017,1,16,1
82130,81816,2017,2,1,3
94696,94276,2017,2,3,1
93613,93178,2017,2,5,17
69357,69092,2017,2,17,5
107440,106951,2017,1,7,17
83826,83461,2017,1,17,7
74231,73894,2017,1,21,23
170513,169840,2017,1,23,21
171968,171277,2017,2,14,17
187752,187176,2017,2,17,14
179052,177877,2017,2,28,19
174039,173384,2017,1,31,18
198794,197516,2017,2,28,16
153037,152396,2017,1,18,21
