,week,hour_of_week,WindowsToAgentCalls,rate,treatment
1916,12,116,143,0.00202908832919475,0.0
1917,12,117,84,0.0012537500559709847,0.0
1918,12,118,27,0.00042414816909373674,0.0
1919,12,119,17,0.00027986303173976033,0.0
1920,12,120,12,0.00020247696824486215,0.0
1921,12,121,6,0.00010310341272296113,0.0
1922,12,122,2,3.3450969241833785e-05,0.0
1923,12,123,13,0.00020737952047473958,0.0
1924,12,124,12,0.00017011142298205324,0.0
1925,12,125,25,0.00030887458456368375,0.0
1926,12,126,51,0.000563567047903199,0.0
1927,12,127,184,0.0018448889557326916,0.0
1928,12,128,286,0.0027391225230574737,0.0
1929,12,129,301,0.0029066118176463204,0.0
1930,12,130,318,0.003044810417464573,0.0
1931,12,131,357,0.0036228942561396388,0.0
1932,12,132,419,0.004396180883433008,0.0
1933,12,133,356,0.003921655026548282,0.0
1934,12,134,315,0.0037880609937947954,0.0
1935,12,135,279,0.0035426322138276934,0.0
1936,12,136,268,0.0035787730683972973,0.0
1937,12,137,220,0.003049963954971441,0.0
1938,12,138,82,0.0011524299406920201,0.0
1939,12,139,54,0.0007745044605719859,0.0
1940,12,140,37,0.0005321597054424117,0.0
1941,12,141,19,0.0002798315119738431,0.0
1942,12,142,22,0.0003463585125476243,0.0
1943,12,143,13,0.00021242871382584115,0.0
1944,12,144,3,4.980741134280781e-05,0.0
1945,12,145,8,0.00013462347496844763,0.0
1946,12,146,3,5.134173055859803e-05,0.0
1947,12,147,7,0.00011492931846914148,0.0
1948,12,148,5,7.345163944059231e-05,0.0
1949,12,149,16,0.00021436227224008573,0.0
1950,12,150,35,0.00041437772305360864,0.0
1951,12,151,171,0.0018609611701201462,0.0
1952,12,152,195,0.001978731176685473,0.0
1953,12,153,244,0.0024289482853018765,0.0
1954,12,154,236,0.0023320618984564914,0.0
1955,12,155,261,0.002589105915263821,0.0
1956,12,156,317,0.0031983695378002886,0.0
1957,12,157,277,0.0029426762418731144,0.0
1958,12,158,278,0.003117815286267033,0.0
1959,12,159,243,0.0028861914150652064,0.0
1960,12,160,285,0.003402538174090567,0.0
1961,12,161,229,0.0025,0.0
1962,12,162,64,0.0006546376989484882,0.0
1963,12,163,35,0.0003800712362088437,0.0
1964,12,164,35,0.0003948956911238731,0.0
1965,12,165,18,0.00021265535655214782,0.0
1966,12,166,15,0.00017430105277835877,0.0
1967,12,167,5,5.223623314075575e-05,0.0
1968,13,0,6,6.142128861863522e-05,0.0
1969,13,1,7,7.087028712590613e-05,0.0
1970,13,2,6,5.966527779158918e-05,0.0
1971,13,3,8,7.127329745910694e-05,0.0
1972,13,4,22,0.0001319150467099188,0.0
1973,13,5,27,0.00010829716742742084,0.0
1974,13,6,219,0.0007881780490613844,0.0
1975,13,7,276,0.0010490786352855318,0.0
1976,13,8,334,0.0013406278473289796,0.0
1977,13,9,419,0.0019093100509908819,0.0
1978,13,10,452,0.0021436532214080765,0.0
1979,13,11,514,0.0025181389287621436,0.0
1980,13,12,541,0.0028170480876877815,0.0
1981,13,13,560,0.0032242277686616574,0.0
1982,13,14,493,0.003408368131412295,0.0
1983,13,15,418,0.0035404226485410578,0.0
1984,13,16,410,0.0038580972993318904,0.0
1985,13,17,327,0.003242696495507824,0.0
1986,13,18,302,0.0030376792934881007,0.0
1987,13,19,219,0.0023543324016340574,0.0
1988,13,20,115,0.0013498127868352171,0.0
1989,13,21,73,0.0009196039404398982,0.0
1990,13,22,17,0.00021404648586034096,0.0
1991,13,23,12,0.00013694096703146218,0.0
1992,13,24,4,4.357963088052644e-05,0.0
1993,13,25,11,0.00011900897976847343,0.0
1994,13,26,1,1.0848457891710693e-05,0.0
1995,13,27,7,7.216569242981887e-05,0.0
1996,13,28,7,5.6585318534925265e-05,0.0
1997,13,29,38,0.00022461814914645105,0.0
1998,13,30,230,0.0011419776073086567,0.0
1999,13,31,260,0.0012458551357982098,0.0
2000,13,32,336,0.0016382332434580374,0.0
2001,13,33,354,0.0018851847907125358,0.0
2002,13,34,359,0.0019142072569250047,0.0
2003,13,35,423,0.0022995004158670963,0.0
2004,13,36,482,0.002777313611717728,0.0
2005,13,37,449,0.002815276480214688,0.0
2006,13,38,431,0.00324496879258551,0.0
2007,13,39,387,0.0035169029443838603,0.0
2008,13,40,306,0.0030821296911826917,0.0
