HourlyActiveSessions,HourlyActiveUsers,EventUtcYear,EventUtcMonth,EventUtcDay,EventUtcHour
70542,70002,2017,3,25,11
191450,190086,2017,3,29,14
223467,222109,2017,3,30,14
161891,160793,2017,3,30,20
114148,113437,2017,4,7,21
54150,53937,2017,1,1,12
212534,211788,2017,1,6,16
116660,116176,2017,1,12,1
89647,89312,2017,1,16,6
91020,90472,2017,2,25,19
113909,113241,2017,2,27,23
213340,211975,2017,3,7,15
97200,96545,2017,3,9,11
54953,54630,2017,3,11,9
93885,93268,2017,3,15,7
94504,93830,2017,3,30,8
83359,83012,2017,1,8,14
53955,53697,2017,1,14,8
179543,179059,2017,1,26,13
52122,51891,2017,1,28,10
68661,68258,2017,2,26,3
69722,69184,2017,3,26,2
78008,77698,2017,2,12,23
121817,121419,2017,2,23,12
88097,87432,2017,2,27,9
251742,250357,2017,3,13,13
96474,95996,2017,1,8,20
77750,77406,2017,1,20,8
90070,89701,2017,2,7,11
175399,174703,2017,2,7,18
53695,53445,2017,2,11,7
53664,53409,2017,2,18,7
84437,83837,2017,3,31,9
87227,86684,2017,4,9,18
179332,178691,2017,1,9,21
54847,54615,2017,1,21,9
134954,134114,2017,2,24,21
207038,205716,2017,3,7,16
97346,96633,2017,3,16,7
102104,101446,2017,3,23,0
174360,173088,2017,4,5,16
58031,57744,2017,1,1,1
192028,191281,2017,1,17,19
192418,191718,2017,1,19,17
94873,94509,2017,1,20,23
187636,186942,2017,1,23,20
93272,92730,2017,3,12,19
76633,76152,2017,3,18,23
77204,76747,2017,3,19,12
199224,197935,2017,3,23,18
210855,209568,2017,3,27,17
154217,153147,2017,3,31,19
55849,55591,2017,1,7,10
85928,85536,2017,1,10,7
200300,199610,2017,1,24,14
195691,195005,2017,1,31,16
86552,85926,2017,2,28,10
151915,150896,2017,2,28,21
82030,81482,2017,3,3,4
71018,70617,2017,3,4,3
173773,172575,2017,3,29,16
84775,84230,2017,4,3,3
174803,174086,2017,1,13,19
